"Family","q1","q2"
"ALB_01",0.8635999,0.1364001
"ALB_02",0.9104635,0.0895365
"ALB_03",0.9086496,0.0913505
"ALB_05",0.9079545,0.0920455
"ALB_06",0.8598167,0.1401833
"APP_01",0.9209794,0.0790205
"APP_02",0.9279955,0.0720045
"APP_03",0.9090196,0.0909804
"APP_04",0.9279701,0.0720299
"APP_05",0.9564363,0.0435637
"APP_06",0.9605021,0.0394979
"ASC_01",0.9008529,0.0991471
"ASC_02",0.9043108,0.0956892
"ASC_03",0.9198807,0.0801193
"ASC_04",0.9091696,0.0908304
"ASC_05",0.8858684,0.1141316
"ASC_06",0.8888271,0.1111729
"B_02",0.9477913,0.0522087
"B_03",0.9848391,0.0151609
"B_04",0.9555414,0.0444586
"B_05",0.8910307,0.1089693
"B_06",0.8978796,0.1021204
"BAL_01",0.9470708,0.0529291
"BAL_02",0.9997461,0.0002539
"BAL_03",0.9701543,0.0298457
"BAL_04",0.9385409,0.0614591
"BAL_05",0.9358732,0.0641268
"BAL_10",0.9896966,0.0103034
"BBE_01",0.9505802,0.0494198
"BBE_02",0.9039999,0.0960001
"BBE_03",0.9110097,0.0889904
"BBE_04",0.9129725,0.0870275
"BBE_05",0.9411673,0.0588327
"BER_01",0.9324085,0.0675915
"BER_02",0.8995681,0.1004319
"BER_03",0.8782226,0.1217774
"BER_04",0.9149997,0.0850003
"BER_05",0.8707259,0.1292741
"BER_06",0.8738731,0.1261269
"CAM_01",0.911974,0.088026
"CAM_02",0.9879029,0.012097
"CAM_03",0.8915942,0.1084058
"CAM_04",0.9323533,0.0676467
"CAM_05",0.9519495,0.0480505
"CAM_06",0.9998085,0.0001915
"EQU_01",0.9712222,0.0287778
"EQU_02",0.9248933,0.0751067
"EQU_03",0.9096597,0.0903403
"EQU_04",0.9616913,0.0383087
"EQU_05",0.906738,0.093262
"EQU_06",0.9681058,0.0318942
"ESC_01",0.9922335,0.0077665
"ESC_02",0.923313,0.076687
"ESC_03",0.9762803,0.0237196
"ESC_04",0.9997931,0.0002069
"ESC_05",0.9673358,0.0326643
"ESC_06",0.9198098,0.0801902
"GRE_01",0.8736352,0.1263648
"GRE_03",0.9527537,0.0472463
"GRE_04",0.9099314,0.0900686
"GRE_05",0.9624309,0.0375691
"GRE_06",0.986543,0.013457
"GRE_07",0.9908798,0.0091202
"HUN_01",0.9642579,0.0357421
"HUN_02",0.9997995,0.0002005
"HUN_03",0.9866877,0.0133123
"HUN_04",0.9998006,0.0001994
"HUN_05",0.9557456,0.0442544
"HUN_06",0.999809,0.000191
"HUN_07",0.9864959,0.0135042
"IND_01",0.9618848,0.0381152
"IND_02",0.9869308,0.0130692
"IND_03",0.9858333,0.0141667
"IND_04",0.9257684,0.0742316
"IND_05",0.9484941,0.0515059
"IND_06",0.9963008,0.0036992
"JAY_01",0.9049137,0.0950863
"JAY_02",0.9349689,0.065031
"JAY_03",0.9610335,0.0389665
"KAN_02",0.813178,0.186822
"KAN_03",0.8473457,0.1526543
"KAN_04",0.8666589,0.1333411
"KAN_05",0.8446577,0.1553423
"KAN_06",0.8683235,0.1316765
"KIL_01",0.97256,0.02744
"KIL_02",0.897901,0.102099
"KIL_03",0.9176223,0.0823777
"KIL_04",0.8671325,0.1328675
"KIL_05",0.9246156,0.0753843
"KIL_06",0.9073769,0.0926231
"LEU_01",0.778917,0.221083
"LEU_02",0.8558432,0.1441568
"LEU_03",0.8777004,0.1222995
"LEU_04",0.8113441,0.1886558
"LEU_05",0.7702564,0.2297436
"LOL_01",0.9043372,0.0956628
"LOL_02",0.7587881,0.2412119
"LOL_03",0.8033941,0.1966058
"LOL_04",0.7457305,0.2542696
"LOL_05",0.7837177,0.2162823
"MAC_01",0.8929598,0.1070402
"MAC_02",0.9092378,0.0907622
"MAC_03",0.9343601,0.0656399
"MAC_04",0.9612902,0.0387098
"MAC_05",0.9713622,0.0286378
"MMF_13",0.9575794,0.0424207
"MPG_01",0.8953618,0.1046382
"MPG_02",0.9208342,0.0791658
"MPG_03",0.8664917,0.1335083
"MPG_04",0.9325542,0.0674457
"MPG_05",0.892764,0.107236
"MPG_06",0.9244756,0.0755245
"MSK_01",0.8658269,0.1341731
"MSK_02",0.8489135,0.1510865
"MSK_03",0.7939658,0.2060342
"MSK_04",0.9259187,0.0740813
"NBTIC_543",0.8009428,0.1990572
"NBTIC_552",0.8196698,0.1803301
"NBTIC_565",0.8482239,0.1517761
"NBTIC_623",0.9035093,0.0964907
"NBTIC_624",0.840526,0.1594739
"NBTIC_627",0.8507173,0.1492827
"NOR_01",0.9432496,0.0567503
"NOR_02",0.9613057,0.0386943
"NOR_03",0.9988011,0.0011989
"NOR_04",0.995198,0.004802
"NOR_05",0.9892216,0.0107785
"NOR_06",0.999809,0.0001909
"OCT_01",0.9285265,0.0714735
"OCT_02",0.9877591,0.0122409
"OCT_03",0.8977895,0.1022105
"OCT_04",0.9299109,0.0700891
"OCT_06",0.8716442,0.1283558
"OCT_08",0.9574391,0.0425609
"OKE_01",0.9103321,0.0896679
"OKE_02",0.8932543,0.1067457
"OKE_03",0.8626963,0.1373036
"OKE_04",0.835285,0.164715
"OKE_05",0.8355457,0.1644544
"OKE_06",0.8562409,0.1437591
"OWL_01",0.9401762,0.0598237
"OWL_02",0.9147208,0.0852792
"OWL_03",0.9032314,0.0967686
"OWL_04",0.9692442,0.0307557
"PRO_02",0.9447254,0.0552746
"PRO_03",0.9453887,0.0546113
"PRO_04",0.9678376,0.0321624
"SAV_01",0.8991307,0.1008693
"SAV_02",0.9465302,0.0534698
"SAV_03",0.9827144,0.0172856
"SAV_04",0.9957109,0.0042891
"SAV_05",0.989489,0.010511
"SAV_06",0.9155513,0.0844487
"SAV_07",0.9437999,0.0562002
"TWI_02",0.9998093,0.0001907
"TWI_03",0.9584895,0.0415105
"TWI_04",0.990239,0.009761
"TWI_05",0.9986032,0.0013968
"TWI_06",0.9977857,0.0022143
"WCA_01",0.9698575,0.0301425
"WCA_02",0.9332577,0.0667423
"WCA_03",0.9357256,0.0642744
"WCA_04",0.9788226,0.0211773
"WCA_05",0.9998,2e-04
"WCA_07",0.9257969,0.0742032
"WHI_01",0.9051931,0.0948069
"WHI_03",0.9436232,0.0563768
"WHI_04",0.9624851,0.0375149
"WHI_05",0.9412438,0.0587562
"WHI_07",0.8610052,0.1389948
"WHI_12",0.9649826,0.0350174
"BLA_01",0.8105237,0.1894763
"BLA_02",0.7426,0.2574001
"BLA_03",0.8632784,0.1367216
"BLA_04",0.7711559,0.2288441
"BLA_05",0.7259678,0.2740322
"BRA_01",0.7961401,0.2038599
"BRA_02",0.8498237,0.1501763
"BRA_03",0.8440401,0.1559599
"BRA_04",0.844145,0.155855
"BRA_05",0.8357496,0.1642504
"BRU_02",0.4346521,0.5653479
"BRU_03",0.631585,0.368415
"BRU_04",0.6238123,0.3761877
"BRU_05",0.7142981,0.2857019
"BRU_06",0.6874238,0.3125762
"CRR_01",0.9221286,0.0778714
"CRR_02",0.9153877,0.0846122
"G13_01",0.8987762,0.1012238
"G13_02",0.8833356,0.1166644
"G13_03",0.9456643,0.0543357
"G13_04",0.9007091,0.0992909
"G13_05",0.9260772,0.0739228
"G18_01",0.8261329,0.1738671
"G18_02",0.8947234,0.1052766
"G18_03",0.839605,0.160395
"G57_01",0.8792627,0.1207373
"G57_02",0.8994577,0.1005423
"G57_03",0.9236824,0.0763176
"G57_04",0.9225647,0.0774353
"G57_05",0.9010457,0.0989543
"G57_06",0.8960661,0.1039338
"G57_07",0.9439138,0.0560862
"G57_08",0.8916391,0.1083609
"G57_09",0.930423,0.069577
"G57_10",0.896198,0.103802
"G57_11",0.895579,0.104421
"SPR_01",0.7793877,0.2206123
"SPR_02",0.6652389,0.3347611
"SPR_03",0.6812015,0.3187986
"SPR_04",0.7035178,0.2964822
"SPR_05",0.6944725,0.3055275
"XBM_02",0.6392206,0.3607794
"XBM_03",0.7375376,0.2624624
"XBM_04",0.6504091,0.3495909
"XBM_05",0.6529783,0.3470217
"XBM_06",0.665773,0.3342269
"XBM_07",0.6844012,0.3155988
"YRB_02",0.643002,0.356998
"YRB_03",0.6648677,0.3351323
"YRB_04",0.6916695,0.3083305
"AB_05",0.9997788,0.0002212
"AB_08",0.9998072,0.0001927
"AB_12",0.9998088,0.0001911
"AB_16",0.9974707,0.0025292
"AB_18",0.9997961,0.0002039
"BFA_01",0.999806,0.000194
"BFA_02",0.9998092,0.0001908
"BFA_03",0.9998086,0.0001914
"BFA_04",0.9887955,0.0112045
"BFA_05",0.991915,0.008085
"BRB_01",0.98531,0.01469
"BRB_02",0.99975,0.00025
"BRB_03",0.9992663,0.0007337
"BRB_04",0.9897448,0.0102551
"CR_03",0.9992083,0.0007917
"CR_04",0.9998063,0.0001937
"CR_05",0.999808,0.0001921
"CR_06",0.9998,2e-04
"CR_07",0.993621,0.006379
"CRA_01",0.999543,0.000457
"CRA_02",0.9952414,0.0047586
"CRA_03",0.9989535,0.0010466
"CRA_04",0.9916402,0.0083598
"CRA_05",0.9997997,0.0002003
"CRA_06",0.9997823,0.0002177
"DG_04",0.9997951,0.0002049
"DG_05",0.9964132,0.0035868
"DG_06",0.9998069,0.0001931
"DG_08",0.9998,2e-04
"DG_10",0.994092,0.005908
"GFM_48",0.999808,0.000192
"GFM_49",0.9979113,0.0020886
"GFM_50",0.9997908,0.0002091
"GFM_51",0.9880689,0.011931
"GFM_55",0.999801,0.0001989
"GPA_01",0.9998087,0.0001913
"GPA_02",0.9953465,0.0046535
"GPA_03",0.9998012,0.0001988
"GPA_04",0.999806,0.000194
"HR_03",0.999809,0.0001909
"HR_05",0.9997976,0.0002024
"HR_06",0.9968894,0.0031107
"HR_07",0.9998059,0.0001941
"HR_10",0.9948234,0.0051766
"KOS_01",0.9975366,0.0024634
"KOS_02",0.993576,0.006424
"KOS_03",0.9852622,0.0147379
"KOS_04",0.995402,0.004598
"KOS_05",0.9997983,0.0002017
"KOS_07",0.987369,0.012631
"MRC_02",0.999806,0.0001939
"MRC_07",0.9998081,0.0001919
"MRC_08",0.9998049,0.0001951
"MRC_16",0.9998063,0.0001937
"MRC_18",0.9903095,0.0096904
"MT_01",0.9923608,0.0076392
"MT_04",0.9998091,0.0001909
"MT_05",0.9968722,0.0031278
"MT_07",0.9987091,0.0012909
"MT_08",0.9998083,0.0001917
"MT_09",0.9959365,0.0040635
"MT_10",0.9991271,0.0008729
"MT_12",0.9998044,0.0001956
"PRK_01",0.9903003,0.0096997
"PRK_02",0.9873948,0.0126053
"PRK_03",0.9935349,0.0064652
"PRK_04",0.9998012,0.0001988
"PRK_05",0.9992387,0.0007613
"RP_01",0.9998088,0.0001912
"RP_03",0.9961087,0.0038913
"RP_05",0.98246,0.0175401
"RP_06",0.9998068,0.0001932
"RP_11",0.9997981,0.0002019
"WA_412",0.9998059,0.0001941
"WA_414",0.9998084,0.0001915
"WA_416",0.9997929,0.0002071
"WA_418",0.9840516,0.0159483
"WA_419",0.9989704,0.0010296
"XCS_01",0.9852647,0.0147353
"XCS_03",0.9765486,0.0234514
"XDS_01",0.9830089,0.0169912
"XDS_02",0.9998091,0.0001908
"XDS_03",0.97842,0.02158
"XDS_04",0.9993236,0.0006764
"XDS_05",0.9861861,0.0138138
"XDS_06",0.9983633,0.0016367
"XFS_01",0.9890695,0.0109305
"XFS_02",0.993122,0.0068779
"XFS_03",0.9998079,0.0001921
"XGL_02",0.9724414,0.0275586
"XGL_03",0.9749311,0.0250689
"XGL_04",0.9836289,0.0163711
"XGL_05",0.9260442,0.0739559
"XPK_01",0.9998087,0.0001912
"XPK_02",0.9998015,0.0001985
"XPK_03",0.9998088,0.0001912
"XPK_04",0.9898905,0.0101095
"XSK_01",0.9954747,0.0045253
"XSK_02",0.9867747,0.0132253
"XSK_05",0.9964406,0.0035593
"XWS_03",0.999809,0.0001909
"XWS_05",0.9945641,0.005436
"XWS_06",0.945741,0.054259
"MN1_1",0.0034922,0.9965078
"MN1_2",1e-04,0.9999
"MN1_3",0.0001941,0.9998059
"MN1_5",0.0017875,0.9982125
"MN2_1",0.003655,0.996345
"MN2_2",0.0056911,0.9943089
"MN2_3",0.0022359,0.9977641
"MN2_4",1e-04,0.9999
"MN2_5",1e-04,0.9999
"WISC_10",1e-04,0.9999
"WISC_1",1e-04,0.9999
"WISC_2",1e-04,0.9999
"WISC_4",1e-04,0.9999
"WISC_5",1e-04,0.9999
"WISC_6",1e-04,0.9999
"WISC_7",1e-04,0.9999
"WISC_8",1e-04,0.9999
"WISC_9",1e-04,0.9999
